subcategoria,descricao_subcategoria,categoria,descricao_categoria,capitulo,descricao_capitulo,causa_violencia,causa_overdose,cid_datasus
A033,Shiguelose devida a Shigella sonnei,A03,Shiguelose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A041,Infecção por Escherichia coli enterotoxigênica,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0,0
A048,Outras infecções bacterianas intestinais especificadas,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0,0
A047,Enterocolite devida a Clostridium difficile,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0,0
A049,Infecção intestinal bacteriana não especificada,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0,0
A040,Infecção por Escherichia coli enteropatogênica,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0,0
A043,Infecção por Escherichia coli enterohemorrágica,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0,0
A046,Enterite devida a Yersinia enterocolítica,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0,0
A042,Infecção por Escherichia coli enteroinvasiva,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0,0
A044,Outras infecções intestinais por Escherichia coli,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0,0
A045,Enterite por Campylobacter,A04,Outras infecções intestinais bacterianas,I,Algumas doenças infecciosas e parasitárias,0,0,0
A051,Botulismo,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",I,Algumas doenças infecciosas e parasitárias,0,0,0
A054,Intoxicação alimentar devida a Bacillus cereus,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",I,Algumas doenças infecciosas e parasitárias,0,0,0
A058,Outras intoxicações alimentares bacterianas especificadas,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",I,Algumas doenças infecciosas e parasitárias,0,0,0
A050,Intoxicação alimentar estafilocócica,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",I,Algumas doenças infecciosas e parasitárias,0,0,0
A052,Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii],A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",I,Algumas doenças infecciosas e parasitárias,0,0,0
A059,Intoxicação alimentar bacteriana não especificada,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",I,Algumas doenças infecciosas e parasitárias,0,0,0
A053,Intoxicação alimentar devida a Vibrio parahemolyticus,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",I,Algumas doenças infecciosas e parasitárias,0,0,0
A067,Amebíase cutânea,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0,0
A065,Abscesso amebiano do pulmão,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0,0
A066,Abscesso amebiano do cérebro,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0,0
A060,Disenteria amebiana aguda,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0,0
A061,Amebíase intestinal crônica,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0,0
A064,Abscesso amebiano do fígado,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0,0
A062,Colite amebiana não-disentérica,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0,0
A069,Amebíase não especificada,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0,0
A068,Infecção amebiana de outras localizações,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0,0
A063,Ameboma intestinal,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0,0
A078,Outras doenças intestinais especificadas por protozoários,A07,Outras doenças intestinais por protozoários,I,Algumas doenças infecciosas e parasitárias,0,0,0
A070,Balantidíase,A07,Outras doenças intestinais por protozoários,I,Algumas doenças infecciosas e parasitárias,0,0,0
A079,Doença intestinal não especificada por protozoários,A07,Outras doenças intestinais por protozoários,I,Algumas doenças infecciosas e parasitárias,0,0,0
A072,Criptosporidiose,A07,Outras doenças intestinais por protozoários,I,Algumas doenças infecciosas e parasitárias,0,0,0
A071,Giardíase [lamblíase],A07,Outras doenças intestinais por protozoários,I,Algumas doenças infecciosas e parasitárias,0,0,0
A073,Isosporíase,A07,Outras doenças intestinais por protozoários,I,Algumas doenças infecciosas e parasitárias,0,0,0
A084,Infecção intestinal devida a vírus não especificado,A08,"Infecções intestinais virais, outras e as não especificadas",I,Algumas doenças infecciosas e parasitárias,0,0,0
A083,Outras enterites virais,A08,"Infecções intestinais virais, outras e as não especificadas",I,Algumas doenças infecciosas e parasitárias,0,0,0
A081,Gastroenteropatia aguda pelo agente de Norwalk,A08,"Infecções intestinais virais, outras e as não especificadas",I,Algumas doenças infecciosas e parasitárias,0,0,0
A082,Enterite por adenovírus,A08,"Infecções intestinais virais, outras e as não especificadas",I,Algumas doenças infecciosas e parasitárias,0,0,0
A080,Enterite por rotavírus,A08,"Infecções intestinais virais, outras e as não especificadas",I,Algumas doenças infecciosas e parasitárias,0,0,0
A085,Outras infecções intestinais especificadas,A08,"Infecções intestinais virais, outras e as não especificadas",I,Algumas doenças infecciosas e parasitárias,0,0,0
A09,Diarréia e gastroenterite de origem infecciosa presumível,A09,Diarréia e gastroenterite de origem infecciosa presumível,I,Algumas doenças infecciosas e parasitárias,0,0,0
A158,"Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A156,"Pleuris tuberculoso, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A154,"Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A157,"Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A159,"Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A150,"Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A152,"Tuberculose pulmonar, com confirmação histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A155,"Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A153,"Tuberculose pulmonar, com confirmação por meio não especificado",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A151,"Tuberculose pulmonar, com confirmação somente por cultura",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A161,"Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A164,"Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A162,"Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A168,"Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A163,"Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A165,"Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A169,"Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A160,Tuberculose pulmonar com exames bacteriológico e histológico negativos,A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A167,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica,A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0,0
A178,Outras tuberculoses do sistema nervoso,A17,Tuberculose do sistema nervoso,I,Algumas doenças infecciosas e parasitárias,0,0,0
A179,Tuberculose não especificada do sistema nervoso,A17,Tuberculose do sistema nervoso,I,Algumas doenças infecciosas e parasitárias,0,0,0
A170,Meningite tuberculosa,A17,Tuberculose do sistema nervoso,I,Algumas doenças infecciosas e parasitárias,0,0,0
A171,Tuberculoma meníngeo,A17,Tuberculose do sistema nervoso,I,Algumas doenças infecciosas e parasitárias,0,0,0
A180,Tuberculose óssea e das articulações,A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0,0
A184,Tuberculose de pele e do tecido celular subcutâneo,A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0,0
A187,Tuberculose das supra-renais,A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0,0
A186,Tuberculose do ouvido,A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0,0
A181,Tuberculose do aparelho geniturinário,A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0,0
A185,Tuberculose do olho,A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0,0
A183,"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos",A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0,0
A188,Tuberculose de outros órgãos especificados,A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0,0
A182,Linfadenopatia tuberculosa periférica,A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0,0
A199,Tuberculose miliar não especificada,A19,Tuberculose miliar,I,Algumas doenças infecciosas e parasitárias,0,0,0
A198,Outras tuberculoses miliares,A19,Tuberculose miliar,I,Algumas doenças infecciosas e parasitárias,0,0,0
A190,Tuberculose miliar aguda de localização única e especificada,A19,Tuberculose miliar,I,Algumas doenças infecciosas e parasitárias,0,0,0
A191,Tuberculose miliar aguda de múltiplas localizações,A19,Tuberculose miliar,I,Algumas doenças infecciosas e parasitárias,0,0,0
A192,Tuberculose miliar aguda não especificada,A19,Tuberculose miliar,I,Algumas doenças infecciosas e parasitárias,0,0,0
A208,Outras formas de peste,A20,Peste,I,Algumas doenças infecciosas e parasitárias,0,0,0
A203,Peste meníngea,A20,Peste,I,Algumas doenças infecciosas e parasitárias,0,0,0
A202,Peste pneumônica,A20,Peste,I,Algumas doenças infecciosas e parasitárias,0,0,0
A209,"Peste, forma não especificada",A20,Peste,I,Algumas doenças infecciosas e parasitárias,0,0,0
A201,Peste celulocutânea,A20,Peste,I,Algumas doenças infecciosas e parasitárias,0,0,0
A207,Peste septicêmica,A20,Peste,I,Algumas doenças infecciosas e parasitárias,0,0,0
A200,Peste bubônica,A20,Peste,I,Algumas doenças infecciosas e parasitárias,0,0,0
A218,Outras formas de tularemia,A21,Tularemia,I,Algumas doenças infecciosas e parasitárias,0,0,0
A211,Tularemia oculoglandular,A21,Tularemia,I,Algumas doenças infecciosas e parasitárias,0,0,0
A210,Tularemia ulceroglandular,A21,Tularemia,I,Algumas doenças infecciosas e parasitárias,0,0,0
A212,Tularemia pulmonar,A21,Tularemia,I,Algumas doenças infecciosas e parasitárias,0,0,0
A213,Tularemia gastrointestinal,A21,Tularemia,I,Algumas doenças infecciosas e parasitárias,0,0,0
A219,"Tularemia, forma não especificada",A21,Tularemia,I,Algumas doenças infecciosas e parasitárias,0,0,0
A217,Tularemia generalizada,A21,Tularemia,I,Algumas doenças infecciosas e parasitárias,0,0,0
A222,Carbúnculo gastrointestinal,A22,Carbúnculo,I,Algumas doenças infecciosas e parasitárias,0,0,0
A228,Outras formas de carbúnculo,A22,Carbúnculo,I,Algumas doenças infecciosas e parasitárias,0,0,0
A220,Carbúnculo cutâneo,A22,Carbúnculo,I,Algumas doenças infecciosas e parasitárias,0,0,0
A221,Carbúnculo pulmonar,A22,Carbúnculo,I,Algumas doenças infecciosas e parasitárias,0,0,0
A227,Septicemia carbunculosa,A22,Carbúnculo,I,Algumas doenças infecciosas e parasitárias,0,0,0
A229,"Carbúnculo, forma não especificada",A22,Carbúnculo,I,Algumas doenças infecciosas e parasitárias,0,0,0
A232,Brucelose por Brucella suis,A23,Brucelose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A233,Brucelose por Brucella canis,A23,Brucelose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A239,Brucelose não especificada,A23,Brucelose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A231,Brucelose por Brucella abortus,A23,Brucelose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A230,Brucelose por Brucella melitensis,A23,Brucelose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A238,Outras bruceloses,A23,Brucelose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A244,Melioidose não especificada,A24,Mormo e melioidose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A240,Mormo,A24,Mormo e melioidose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A243,Outras melioidoses,A24,Mormo e melioidose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A241,Melioidose aguda e fulminante,A24,Mormo e melioidose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A242,Melioidose subaguda e crônica,A24,Mormo e melioidose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A259,"Febre transmitida por mordedura de rato, tipo não especificado",A25,Febres transmitidas por mordedura de rato,I,Algumas doenças infecciosas e parasitárias,0,0,0
A251,Estreptobacilose,A25,Febres transmitidas por mordedura de rato,I,Algumas doenças infecciosas e parasitárias,0,0,0
A250,Espirilose,A25,Febres transmitidas por mordedura de rato,I,Algumas doenças infecciosas e parasitárias,0,0,0
A260,Erisipelóide cutâneo,A26,Erisipelóide,I,Algumas doenças infecciosas e parasitárias,0,0,0
A268,Outras formas de erisipelóide,A26,Erisipelóide,I,Algumas doenças infecciosas e parasitárias,0,0,0
A267,Septicemia por Erysipelothrix,A26,Erisipelóide,I,Algumas doenças infecciosas e parasitárias,0,0,0
A269,Erisipelóide não especificado,A26,Erisipelóide,I,Algumas doenças infecciosas e parasitárias,0,0,0
A279,Leptospirose não especificada,A27,Leptospirose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A270,Leptopirose icterohemorrágica,A27,Leptospirose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A278,Outras formas de leptospirose,A27,Leptospirose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A282,Yersiniose extra-intestinal,A28,Outras doenças bacterianas zoonóticas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0,0
A280,Pasteurelose,A28,Outras doenças bacterianas zoonóticas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0,0
A289,Doença bacteriana zoonótica não especificada,A28,Outras doenças bacterianas zoonóticas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0,0
A288,Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte,A28,Outras doenças bacterianas zoonóticas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0,0
A281,Doença por arranhadura do gato,A28,Outras doenças bacterianas zoonóticas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0,0
A302,Hanseníase [lepra] tuberculóide borderline,A30,Hanseníase [doença de Hansen] [lepra],I,Algumas doenças infecciosas e parasitárias,0,0,0
A304,Hanseníase [lepra] lepromatosa borderline,A30,Hanseníase [doença de Hansen] [lepra],I,Algumas doenças infecciosas e parasitárias,0,0,0
A305,Hanseníase [lepra] lepromatosa,A30,Hanseníase [doença de Hansen] [lepra],I,Algumas doenças infecciosas e parasitárias,0,0,0
A308,Outras formas de hanseníase [lepra],A30,Hanseníase [doença de Hansen] [lepra],I,Algumas doenças infecciosas e parasitárias,0,0,0
A301,Hanseníase [lepra] tuberculóide,A30,Hanseníase [doença de Hansen] [lepra],I,Algumas doenças infecciosas e parasitárias,0,0,0
A303,Hanseníase [lepra] dimorfa,A30,Hanseníase [doença de Hansen] [lepra],I,Algumas doenças infecciosas e parasitárias,0,0,0
A300,Hanseníase [lepra] indeterminada,A30,Hanseníase [doença de Hansen] [lepra],I,Algumas doenças infecciosas e parasitárias,0,0,0
A309,Hanseníase [lepra] não especificada,A30,Hanseníase [doença de Hansen] [lepra],I,Algumas doenças infecciosas e parasitárias,0,0,0
A319,Infecção micobacteriana não especificada,A31,Infecções devidas a outras micobactérias,I,Algumas doenças infecciosas e parasitárias,0,0,0
A318,Outras infecções micobacterianas,A31,Infecções devidas a outras micobactérias,I,Algumas doenças infecciosas e parasitárias,0,0,0
A310,Infecção pulmonar micobacteriana,A31,Infecções devidas a outras micobactérias,I,Algumas doenças infecciosas e parasitárias,0,0,0
A311,Infecção cutânea micobacteriana,A31,Infecções devidas a outras micobactérias,I,Algumas doenças infecciosas e parasitárias,0,0,0
A328,Outras formas de listeriose,A32,Listeriose [listeríase],I,Algumas doenças infecciosas e parasitárias,0,0,0
A329,Listeriose não especificada,A32,Listeriose [listeríase],I,Algumas doenças infecciosas e parasitárias,0,0,0
A320,Listeriose cutânea,A32,Listeriose [listeríase],I,Algumas doenças infecciosas e parasitárias,0,0,0
A327,Septicemia listeriótica,A32,Listeriose [listeríase],I,Algumas doenças infecciosas e parasitárias,0,0,0
A321,Meningite e meningoencefalite por listéria,A32,Listeriose [listeríase],I,Algumas doenças infecciosas e parasitárias,0,0,0
A33,Tétano do recém-nascido [neonatal],A33,Tétano do recém-nascido [neonatal],I,Algumas doenças infecciosas e parasitárias,0,0,0
A34,Tétano obstétrico,A34,Tétano obstétrico,I,Algumas doenças infecciosas e parasitárias,0,0,0
A35,Outros tipos de tétano,A35,Outros tipos de tétano,I,Algumas doenças infecciosas e parasitárias,0,0,0
A369,Difteria não especificada,A36,Difteria,I,Algumas doenças infecciosas e parasitárias,0,0,0
A362,Difteria laríngea,A36,Difteria,I,Algumas doenças infecciosas e parasitárias,0,0,0
A363,Difteria cutânea,A36,Difteria,I,Algumas doenças infecciosas e parasitárias,0,0,0
A360,Difteria faríngea,A36,Difteria,I,Algumas doenças infecciosas e parasitárias,0,0,0
A361,Difteria nasofaríngea,A36,Difteria,I,Algumas doenças infecciosas e parasitárias,0,0,0
A368,Outras formas de difteria,A36,Difteria,I,Algumas doenças infecciosas e parasitárias,0,0,0
A378,Coqueluche por outras espécies da Bordetella,A37,Coqueluche,I,Algumas doenças infecciosas e parasitárias,0,0,0
A379,Coqueluche não especificada,A37,Coqueluche,I,Algumas doenças infecciosas e parasitárias,0,0,0
A370,Coqueluche por Bordetella pertussis,A37,Coqueluche,I,Algumas doenças infecciosas e parasitárias,0,0,0
A371,Coqueluche por Bordetella parapertussis,A37,Coqueluche,I,Algumas doenças infecciosas e parasitárias,0,0,0
A38,Escarlatina,A38,Escarlatina,I,Algumas doenças infecciosas e parasitárias,0,0,0
A391,Síndrome de Waterhouse-Friderichsen,A39,Infecção meningogócica,I,Algumas doenças infecciosas e parasitárias,0,0,0
A390,Meningite meningocócica,A39,Infecção meningogócica,I,Algumas doenças infecciosas e parasitárias,0,0,0
A392,Meningococcemia aguda,A39,Infecção meningogócica,I,Algumas doenças infecciosas e parasitárias,0,0,0
A398,Outras infecções por meningococos,A39,Infecção meningogócica,I,Algumas doenças infecciosas e parasitárias,0,0,0
A399,Infecção meningocócica não especificada,A39,Infecção meningogócica,I,Algumas doenças infecciosas e parasitárias,0,0,0
A395,Cardite por meningococos,A39,Infecção meningogócica,I,Algumas doenças infecciosas e parasitárias,0,0,0
A393,Meningococcemia crônica,A39,Infecção meningogócica,I,Algumas doenças infecciosas e parasitárias,0,0,0
A394,Meningococcemia não especificada,A39,Infecção meningogócica,I,Algumas doenças infecciosas e parasitárias,0,0,0
A408,Outras septicemias estreptocócicas,A40,Septicemia estreptocócica,I,Algumas doenças infecciosas e parasitárias,0,0,0
A402,Septicemia por Streptococcus do grupo D,A40,Septicemia estreptocócica,I,Algumas doenças infecciosas e parasitárias,0,0,0
A409,Septicemia estreptocócica não especificada,A40,Septicemia estreptocócica,I,Algumas doenças infecciosas e parasitárias,0,0,0
A403,Septicemia por Streptococcus pneumonia,A40,Septicemia estreptocócica,I,Algumas doenças infecciosas e parasitárias,0,0,0
A400,Septicemia por Streptococcus do grupo A,A40,Septicemia estreptocócica,I,Algumas doenças infecciosas e parasitárias,0,0,0
A401,Septicemia por Streptococcus do grupo B,A40,Septicemia estreptocócica,I,Algumas doenças infecciosas e parasitárias,0,0,0
A414,Septicemia por anaeróbios,A41,Outras septicemias,I,Algumas doenças infecciosas e parasitárias,0,0,0
A411,Septicemia por outros estafilococos especificados,A41,Outras septicemias,I,Algumas doenças infecciosas e parasitárias,0,0,0
A415,Septicemia por outros microorganismos gram-negativos,A41,Outras septicemias,I,Algumas doenças infecciosas e parasitárias,0,0,0
A413,Septicemia por Haemophilus influenzae,A41,Outras septicemias,I,Algumas doenças infecciosas e parasitárias,0,0,0
A418,Outras septicemias especificadas,A41,Outras septicemias,I,Algumas doenças infecciosas e parasitárias,0,0,0
A410,Septicemia por Staphylococcus aureus,A41,Outras septicemias,I,Algumas doenças infecciosas e parasitárias,0,0,0
A419,Septicemia não especificada,A41,Outras septicemias,I,Algumas doenças infecciosas e parasitárias,0,0,0
A412,Septicemia por estafilococos não especificados,A41,Outras septicemias,I,Algumas doenças infecciosas e parasitárias,0,0,0
A422,Actinomicose cervicofacial,A42,Actinomicose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A429,Actinomicose não especificada,A42,Actinomicose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A428,Outras formas de actinomicose,A42,Actinomicose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A421,Actinomicose abdominal,A42,Actinomicose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A427,Septicemia actinomicótica,A42,Actinomicose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A420,Actinomicose pulmonar,A42,Actinomicose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A430,Nocardiose pulmonar,A43,Nocardiose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A438,Outras formas de nocardiose,A43,Nocardiose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A439,Nocardiose não especificada,A43,Nocardiose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A431,Nocardiose cutânea,A43,Nocardiose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A448,Outras formas de bartonelose,A44,Bartonelose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A449,Bartonelose não especificada,A44,Bartonelose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A441,Bartonelose cutânea e cutâneo-mucosa,A44,Bartonelose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A440,Bartonelose sistêmica,A44,Bartonelose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A46,Erisipela,A46,Erisipela,I,Algumas doenças infecciosas e parasitárias,0,0,0
A481,Doença dos legionários,A48,Outras doenças bacterianas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0,0
A488,Outras doenças bacterianas especificadas,A48,Outras doenças bacterianas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0,0
A482,Doença dos legionários não-pneumônica [febre de Pontiac],A48,Outras doenças bacterianas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0,0
A483,Síndrome do choque tóxico,A48,Outras doenças bacterianas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0,0
A480,Gangrena gasosa,A48,Outras doenças bacterianas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0,0
A484,Febre purpúrica do Brasil,A48,Outras doenças bacterianas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0,0
A498,Outras infecções bacterianas de localização não especificada,A49,Infecção bacteriana de localização não especificada,I,Algumas doenças infecciosas e parasitárias,0,0,0
A491,Infecção estreptocócica de localização não especificada,A49,Infecção bacteriana de localização não especificada,I,Algumas doenças infecciosas e parasitárias,0,0,0
A492,Infecção por Haemophilus influenzae de localização não especificada,A49,Infecção bacteriana de localização não especificada,I,Algumas doenças infecciosas e parasitárias,0,0,0
A490,Infecção estafilocócica de localização não especificada,A49,Infecção bacteriana de localização não especificada,I,Algumas doenças infecciosas e parasitárias,0,0,0
